2019-03-26 00:35:32 INFO  root:50 - add code block to text     }
2019-03-26 00:35:32 INFO  root:36 - - start paragraph parsing
2019-03-26 00:35:32 INFO  root:38 -    start sentence parsing
2019-03-26 00:35:32 INFO  root:46 -    add word Because
2019-03-26 00:35:32 INFO  root:46 -    add word the
2019-03-26 00:35:32 INFO  root:46 -    add word remainder
2019-03-26 00:35:32 INFO  root:49 -    add punctuation sign (
2019-03-26 00:35:32 INFO  root:49 -    add punctuation sign %
2019-03-26 00:35:32 INFO  root:49 -    add punctuation sign )
2019-03-26 00:35:32 INFO  root:46 -    add word and
2019-03-26 00:35:32 INFO  root:46 -    add word unary
2019-03-26 00:35:32 INFO  root:46 -    add word plus
2019-03-26 00:35:32 INFO  root:49 -    add punctuation sign (
2019-03-26 00:35:32 INFO  root:49 -    add punctuation sign +=
2019-03-26 00:35:32 INFO  root:49 -    add punctuation sign )
2019-03-26 00:35:32 INFO  root:46 -    add word operators
2019-03-26 00:35:32 INFO  root:46 -    add word do
2019-03-26 00:35:32 INFO  root:46 -    add word not
2019-03-26 00:35:32 INFO  root:46 -    add word apply
2019-03-26 00:35:32 INFO  root:46 -    add word to
2019-03-26 00:35:32 INFO  root:46 -    add word Integer
2019-03-26 00:35:32 INFO  root:46 -    add word objects
2019-03-26 00:35:32 INFO  root:49 -    add punctuation sign ,
2019-03-26 00:35:32 INFO  root:46 -    add word you
2019-03-26 00:35:32 INFO  root:46 -    add word may
2019-03-26 00:35:32 INFO  root:46 -    add word wonder
2019-03-26 00:35:32 INFO  root:46 -    add word why
2019-03-26 00:35:32 INFO  root:46 -    add word the
2019-03-26 00:35:32 INFO  root:46 -    add word Java
2019-03-26 00:35:32 INFO  root:46 -    add word compiler
2019-03-26 00:35:32 INFO  root:46 -    add word compiles
2019-03-26 00:35:32 INFO  root:46 -    add word the
2019-03-26 00:35:32 INFO  root:46 -    add word method
2019-03-26 00:35:32 INFO  root:46 -    add word without
2019-03-26 00:35:32 INFO  root:46 -    add word issuing
2019-03-26 00:35:32 INFO  root:46 -    add word any
2019-03-26 00:35:32 INFO  root:46 -    add word errors
2019-03-26 00:35:32 INFO  root:49 -    add punctuation sign . 
2019-03-26 00:35:32 INFO  root:55 -    end sentence parsing
2019-03-26 00:35:32 INFO  root:38 -    start sentence parsing
2019-03-26 00:35:32 INFO  root:46 -    add word The
2019-03-26 00:35:32 INFO  root:46 -    add word compiler
2019-03-26 00:35:32 INFO  root:46 -    add word does
2019-03-26 00:35:32 INFO  root:46 -    add word not
2019-03-26 00:35:32 INFO  root:46 -    add word generate
2019-03-26 00:35:32 INFO  root:46 -    add word an
2019-03-26 00:35:32 INFO  root:46 -    add word error
2019-03-26 00:35:32 INFO  root:46 -    add word because
2019-03-26 00:35:32 INFO  root:46 -    add word it
2019-03-26 00:35:32 INFO  root:46 -    add word invokes
2019-03-26 00:35:32 INFO  root:46 -    add word the
2019-03-26 00:35:32 INFO  root:46 -    add word intValue
2019-03-26 00:35:32 INFO  root:46 -    add word method
2019-03-26 00:35:32 INFO  root:46 -    add word to
2019-03-26 00:35:32 INFO  root:46 -    add word convert
2019-03-26 00:35:32 INFO  root:46 -    add word an
2019-03-26 00:35:32 INFO  root:46 -    add word Integer
2019-03-26 00:35:32 INFO  root:46 -    add word to
2019-03-26 00:35:32 INFO  root:46 -    add word an
2019-03-26 00:35:32 INFO  root:46 -    add word int
2019-03-26 00:35:32 INFO  root:46 -    add word at
2019-03-26 00:35:32 INFO  root:46 -    add word runtime
2019-03-26 00:35:32 INFO  root:49 -    add punctuation sign :
2019-03-26 00:35:32 INFO  root:55 -    end sentence parsing
2019-03-26 00:35:32 INFO  root:47 - - end paragraph parsing
2019-03-26 00:35:32 INFO  root:47 - add paragraph to text
